hour,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEA1,DEA2,DEA3,DEA4,DEA5,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEE0,DEF0,DEG0
2585,0.762873311,0.826695768,0.826695768,0.762873311,0.762873311,0.762873311,1.06262191,1.06262191,0.762873311,0.762873311,0.762873311,0.608134087,0.608134087,0.963626403,0.880838133,0.940464378,1.06262191,0.52938537,0.608134087,0.880838133,0.880838133,0.880838133,0.963626403,0.940464378,0.940464378,0.940464378,0.52938537,0.940464378,0.940464378,0.826695768,0.940464378,0.940464378,0.608134087,0.608134087,0.608134087,0.608134087,0.880838133,0.642491987
2586,0.812356985,0.874759476,0.874759476,0.812356985,0.812356985,0.812356985,1.090958495,1.090958495,0.812356985,0.812356985,0.812356985,0.666608519,0.666608519,0.968444535,0.902427303,0.930564753,1.090958495,0.564677728,0.666608519,0.902427303,0.902427303,0.902427303,0.968444535,0.930564753,0.930564753,0.930564753,0.564677728,0.930564753,0.930564753,0.874759476,0.930564753,0.930564753,0.666608519,0.666608519,0.666608519,0.666608519,0.902427303,0.725394179
2587,0.832975182,0.908404071,0.908404071,0.832975182,0.832975182,0.832975182,1.095681259,1.095681259,0.832975182,0.832975182,0.832975182,0.721184655,0.721184655,0.973262667,0.911062971,0.940464378,1.095681259,0.692612526,0.721184655,0.911062971,0.911062971,0.911062971,0.973262667,0.940464378,0.940464378,0.940464378,0.692612526,0.940464378,0.940464378,0.908404071,0.940464378,0.940464378,0.721184655,0.721184655,0.721184655,0.721184655,0.911062971,0.79275221
2588,0.898953415,0.970886891,0.970886891,0.898953415,0.898953415,0.898953415,1.114572315,1.114572315,0.898953415,0.898953415,0.898953415,0.795252268,0.795252268,0.987717063,0.984466149,0.989962503,1.114572315,0.780843421,0.795252268,0.984466149,0.984466149,0.984466149,0.987717063,0.989962503,0.989962503,0.989962503,0.780843421,0.989962503,0.989962503,0.970886891,0.989962503,0.989962503,0.795252268,0.795252268,0.795252268,0.795252268,0.984466149,0.84456608
2589,0.93606617,1.014144227,1.014144227,0.93606617,0.93606617,0.93606617,1.114572315,1.114572315,0.93606617,0.93606617,0.93606617,0.834235222,0.834235222,1.016625856,1.027644488,1.029561004,1.114572315,0.851428137,0.834235222,1.027644488,1.027644488,1.027644488,1.016625856,1.029561004,1.029561004,1.029561004,0.851428137,1.029561004,1.029561004,1.014144227,1.029561004,1.029561004,0.834235222,0.834235222,0.834235222,0.834235222,1.027644488,0.896379949
2590,0.969055286,1.057401564,1.057401564,0.969055286,0.969055286,0.969055286,1.114572315,1.114572315,0.969055286,0.969055286,0.969055286,0.873218176,0.873218176,1.02626212,1.053551492,1.034510816,1.114572315,0.847016592,0.873218176,1.053551492,1.053551492,1.053551492,1.02626212,1.034510816,1.034510816,1.034510816,0.847016592,1.034510816,1.034510816,1.057401564,1.034510816,1.034510816,0.873218176,0.873218176,0.873218176,0.873218176,1.053551492,0.906742723
2591,1.006168042,1.071820676,1.071820676,1.006168042,1.006168042,1.006168042,1.133463371,1.133463371,1.006168042,1.006168042,1.006168042,0.916099426,0.916099426,1.040716516,1.131272504,1.064209691,1.133463371,0.935247487,0.916099426,1.131272504,1.131272504,1.131272504,1.040716516,1.064209691,1.064209691,1.064209691,0.935247487,1.064209691,1.064209691,1.071820676,1.064209691,1.064209691,0.916099426,0.916099426,0.916099426,0.916099426,1.131272504,0.937831045
2592,1.0226626,1.062207935,1.062207935,1.0226626,1.0226626,1.0226626,1.142908899,1.142908899,1.0226626,1.0226626,1.0226626,0.951184085,0.951184085,1.07444344,1.152861674,1.084008941,1.142908899,1.001420658,0.951184085,1.152861674,1.152861674,1.152861674,1.07444344,1.084008941,1.084008941,1.084008941,1.001420658,1.084008941,1.084008941,1.062207935,1.084008941,1.084008941,0.951184085,0.951184085,0.951184085,0.951184085,1.152861674,0.974100754
2593,1.063898995,1.071820676,1.071820676,1.063898995,1.063898995,1.063898995,1.157077191,1.157077191,1.063898995,1.063898995,1.063898995,0.990167039,0.990167039,1.079261572,1.17013301,1.084008941,1.157077191,0.97495139,0.990167039,1.17013301,1.17013301,1.17013301,1.079261572,1.084008941,1.084008941,1.084008941,0.97495139,1.084008941,1.084008941,1.071820676,1.084008941,1.084008941,0.990167039,0.990167039,0.990167039,0.990167039,1.17013301,1.020733237
2594,1.076269914,1.091046159,1.091046159,1.076269914,1.076269914,1.076269914,1.161799955,1.161799955,1.076269914,1.076269914,1.076269914,1.013556812,1.013556812,1.12262476,1.174450844,1.098858379,1.161799955,0.948482121,1.013556812,1.174450844,1.174450844,1.174450844,1.12262476,1.098858379,1.098858379,1.098858379,0.948482121,1.098858379,1.098858379,1.091046159,1.098858379,1.098858379,1.013556812,1.013556812,1.013556812,1.013556812,1.174450844,1.036277398
